method,dataset,TIE_PROP,NOT_TIE_PROP,GFR,NDKL_Value,ULOSS_Value,WULOSS_Value
AVG,alternating_groups,0.0,1.0,35.00385317267997,0.1743650961307553,0.0,1.1102230246251565e-16
AVG,alternating_groups,0.1,0.9,31.884697939470872,0.1743650961307553,0.0,1.1102230246251565e-16
AVG,alternating_groups,0.2,0.8,28.41041254939433,0.04821752304799236,0.0,0.0
AVG,alternating_groups,0.3,0.7,24.944276899378583,0.08917338525977883,0.0,0.0
AVG,alternating_groups,0.4,0.6,21.476150786029915,0.04971967132589248,0.0,0.0
AVG,alternating_groups,0.5,0.5,18.008589515445202,0.06945889964314528,0.0,0.0
AVG,alternating_groups,0.6,0.4,14.539151764551935,0.03395809191310076,0.0,0.0
AVG,alternating_groups,0.7,0.30000000000000004,11.068300475058042,0.0784076839561959,0.0,0.0
AVG,alternating_groups,0.8,0.19999999999999996,7.591594747493064,0.05646596023643471,0.0,0.0
AVG,alternating_groups,0.9,0.09999999999999998,4.096422734764315,0.0861202275877216,0.0,0.0
AVG,alternating_groups,1.0,0.0,0.0,0.05080044952227588,0.0,0.0
AVG,skewed_groups,0.0,1.0,35.00385317267997,0.4826029492624594,0.0,1.1102230246251565e-16
AVG,skewed_groups,0.1,0.9,31.884697939470872,0.4826029492624594,0.0,1.1102230246251565e-16
AVG,skewed_groups,0.2,0.8,28.41896990257186,0.4826029492624594,0.0,0.0
AVG,skewed_groups,0.3,0.7,24.953241865672847,0.4826029492624594,0.0,0.0
AVG,skewed_groups,0.4,0.6,21.487513828773846,0.4826029492624594,0.0,0.0
AVG,skewed_groups,0.5,0.5,18.021785791874837,0.4826029492624594,0.0,0.0
AVG,skewed_groups,0.6,0.4,14.545068494135228,0.1925785639878105,0.0,0.0
AVG,skewed_groups,0.7,0.30000000000000004,11.0710307491833,0.08459181085202414,0.0,0.0
AVG,skewed_groups,0.8,0.19999999999999996,7.593098744442973,0.06686777628404182,0.0,0.0
AVG,skewed_groups,0.9,0.09999999999999998,4.096422734764315,0.08979164038280162,0.0,0.0
AVG,skewed_groups,1.0,0.0,0.0,0.06926113150705382,0.0,0.0
EPIRA-Break,alternating_groups,0.0,1.0,35.00385317267997,0.1743650961307553,0.0,1.1102230246251565e-16
