method,dataset,TIE_BLOCKS,TIE_TYPE,GFR,NDKL_Value,ULOSS_Value,WULOSS_Value
AVG,alternating_groups,1,Bottom,27.72582429519206,0.17411737406369227,0.0,0.0
AVG,alternating_groups,1,Interleaved,28.068118422293196,0.17335265023663587,0.0,0.0
AVG,alternating_groups,1,Top,28.41041254939433,0.04821752304799236,0.0,0.0
AVG,alternating_groups,2,Bottom,20.458975185565112,0.173645179350227,0.0,-2.220446049250313e-16
AVG,alternating_groups,2,Interleaved,21.129761257222984,0.1704574787124025,0.0,0.0
AVG,alternating_groups,2,Top,21.800547328880853,0.04519553729274543,0.0,0.0
AVG,alternating_groups,3,Bottom,13.218125536079937,0.1726007415087521,0.0,-2.220446049250313e-16
AVG,alternating_groups,3,Interleaved,14.185305453354077,0.19911214610505312,0.0,0.0
AVG,alternating_groups,3,Top,15.152485370628217,0.041023921079384275,0.0,0.0
AVG,alternating_groups,4,Bottom,6.0650240645732625,0.16903296130408,0.0,0.0
AVG,alternating_groups,4,Interleaved,7.220266743539598,0.11715401556225047,0.0,0.0
AVG,alternating_groups,4,Top,8.375509422505933,0.029022719599018153,0.0,0.0
AVG,alternating_groups,5,Bottom,0.0,0.04900664842470172,0.0,0.0
AVG,alternating_groups,5,Interleaved,0.6933765542848239,0.0505619843361653,0.0,0.0
AVG,alternating_groups,5,Top,0.0,0.04900664842470172,0.0,0.0
AVG,skewed_groups,1,Bottom,28.41896990257186,0.4826029492624594,0.0,0.0
AVG,skewed_groups,1,Interleaved,28.068118422293196,0.4574933880654199,0.0,0.0
AVG,skewed_groups,1,Top,28.41896990257186,0.4826029492624594,0.0,0.0
AVG,skewed_groups,2,Bottom,21.834086632463748,0.4826029492624594,0.0,-2.220446049250313e-16
AVG,skewed_groups,2,Interleaved,21.834086632463748,0.4826029492624594,0.0,0.0
AVG,skewed_groups,2,Top,21.834086632463748,0.4826029492624594,0.0,0.0
AVG,skewed_groups,3,Bottom,14.588297085551636,0.45575378579130066,0.0,-2.220446049250313e-16
AVG,skewed_groups,3,Interleaved,14.894570726021781,0.45540510095352804,0.0,0.0
AVG,skewed_groups,3,Top,15.200844366491925,0.4587538333913499,0.0,0.0
AVG,skewed_groups,4,Bottom,8.028936618816033,0.45963770919336044,0.0,0.0
AVG,skewed_groups,4,Interleaved,8.664320092247518,0.4826029492624594,0.0,0.0
AVG,skewed_groups,4,Top,8.577676891325043,0.4606234306272099,0.0,0.0
AVG,skewed_groups,5,Bottom,1.6635494577115235,0.4599613887967397,0.0,0.0
AVG,skewed_groups,5,Interleaved,2.081941005060066,0.452685483204192,0.0,0.0
AVG,skewed_groups,5,Top,1.6635494577115235,0.4599613887967397,0.0,0.0
EPIRA-Break,alternating_groups,1,Bottom,27.72582429519206,0.17410813199262393,0.0,0.0
EPIRA-Break,alternating_groups,1,Interleaved,28.068118422293196,0.17331412692196307,0.0,0.0
EPIRA-Break,alternating_groups,1,Top,28.41041254939433,0.01597252510601571,0.0,0.0
EPIRA-Break,alternating_groups,2,Bottom,20.458975185565112,0.1736302402358944,0.0,-2.220446049250313e-16
EPIRA-Break,alternating_groups,2,Interleaved,21.129761257222984,0.17036564300842727,0.0,0.0
EPIRA-Break,alternating_groups,2,Top,21.800547328880853,0.01284564676892174,0.0,0.0
EPIRA-Break,alternating_groups,3,Bottom,13.218125536079937,0.17256122354847186,0.0,-2.220446049250313e-16
EPIRA-Break,alternating_groups,3,Interleaved,14.185305453354077,0.19817994917540077,0.0,0.0
EPIRA-Break,alternating_groups,3,Top,15.152485370628217,0.008731294277674786,0.0,0.0
EPIRA-Break,alternating_groups,4,Bottom,6.0650240645732625,0.16893648746007667,0.0,0.0
EPIRA-Break,alternating_groups,4,Interleaved,7.220266743539598,0.11697680378113211,0.0,0.0
EPIRA-Break,alternating_groups,4,Top,8.375509422505933,0.007457887374341894,0.0,0.0
EPIRA-Break,alternating_groups,5,Bottom,0.0,0.011207449387402531,0.0,0.0
EPIRA-Break,alternating_groups,5,Interleaved,0.6933765542848239,0.01269591872457503,0.0,0.0
EPIRA-Break,alternating_groups,5,Top,0.0,0.011207449387402531,0.0,0.0
EPIRA-Break,skewed_groups,1,Bottom,28.41896990257186,0.4826029492624594,0.0,0.0
EPIRA-Break,skewed_groups,1,Interleaved,28.068118422293196,0.4573232746501213,0.0,0.0
EPIRA-Break,skewed_groups,1,Top,28.41896990257186,0.4826029492624594,0.0,0.0
EPIRA-Break,skewed_groups,2,Bottom,21.834086632463748,0.4826029492624594,0.0,-2.220446049250313e-16
EPIRA-Break,skewed_groups,2,Interleaved,21.834086632463748,0.4826029492624594,0.0,0.0
EPIRA-Break,skewed_groups,2,Top,21.834086632463748,0.4826029492624594,0.0,0.0
